epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,567.821,1.57052,2.21189,2.18949,0.01047,1.26306,0.40436,0.47339,0.36019,0.16442,0.35159,0.47572,0.30638,0.11013,1.78249,2.79033,2.86596,0.01488,0,0.00122141,0.00122141,0.00122141
29,588.789,1.51162,2.20672,2.13672,0.01019,1.24006,0.45981,0.42237,0.36559,0.17885,0.40115,0.43044,0.32602,0.11663,1.83933,2.81109,2.87838,0.01564,0,0.00120491,0.00120491,0.00120491
30,610.62,1.52659,2.23167,2.04167,0.01091,0.95239,0.56118,0.25257,0.35093,0.16167,0.56118,0.25257,0.33237,0.11736,1.80235,2.91186,2.70248,0.0147,0,0.0011884,0.0011884,0.0011884
31,633.812,1.44088,2.23228,2.01647,0.01007,1.10389,0.34204,0.53629,0.46507,0.21276,0.33137,0.51248,0.4093,0.14637,1.6742,3.18504,2.53271,0.01422,0,0.0011719,0.0011719,0.0011719
32,666.147,1.49777,2.17248,2.06417,0.01002,1.09959,0.53363,0.36335,0.38557,0.18714,0.51864,0.33954,0.36885,0.14714,1.73155,2.96194,2.50859,0.01522,0,0.0011554,0.0011554,0.0011554
33,691.505,1.66616,2.21554,2.09416,0.0103,1.32543,0.34996,0.43511,0.35408,0.16202,0.34294,0.41923,0.34221,0.14113,1.75964,2.91759,2.6564,0.01477,0,0.00113889,0.00113889,0.00113889
34,713.985,1.57077,2.10197,2.05833,0.01137,1.13159,0.39675,0.37162,0.39055,0.19536,0.57077,0.29458,0.38108,0.14272,1.65477,2.84231,2.5093,0.01343,0,0.00112239,0.00112239,0.00112239
35,745.843,1.59543,2.26548,1.87112,0.01197,1.23875,0.45522,0.45425,0.42318,0.21422,0.41634,0.43941,0.40887,0.16283,1.55068,2.59199,2.4254,0.01312,0,0.00110589,0.00110589,0.00110589
36,766.595,1.48528,2.09036,1.88118,0.01038,1.15264,0.52798,0.47047,0.47161,0.21056,0.46444,0.43398,0.41586,0.15905,1.60857,2.50938,2.42813,0.01322,0,0.00108938,0.00108938,0.00108938
37,787.156,1.48588,2.13288,1.78911,0.01042,1.01086,0.52763,0.53351,0.44392,0.20527,0.50193,0.50176,0.42118,0.16929,1.6941,2.44304,2.44503,0.01418,0,0.00107288,0.00107288,0.00107288
38,807.733,1.59542,2.25013,2.02499,0.01195,1.24171,0.60124,0.4225,0.4878,0.22188,0.62814,0.43604,0.48337,0.19172,1.66552,2.4978,2.4099,0.01401,0,0.00105638,0.00105638,0.00105638
39,828.579,1.45049,2.16334,1.92838,0.01017,1.23283,0.542,0.50672,0.489,0.23874,0.46228,0.5156,0.44859,0.19135,1.56574,2.54061,2.43937,0.01352,0,0.00103987,0.00103987,0.00103987
40,849.391,1.44901,2.19492,1.7447,0.00936,1.02174,0.49084,0.47293,0.46515,0.21893,0.44007,0.4999,0.43367,0.17308,1.59931,2.72649,2.46189,0.01364,0,0.00102337,0.00102337,0.00102337
41,870.032,1.38785,2.06431,1.72231,0.01013,0.97759,0.52114,0.47318,0.46671,0.21462,0.47425,0.42273,0.41044,0.16829,1.7604,2.81371,2.41354,0.01512,0,0.00100687,0.00100687,0.00100687
42,890.588,1.40055,2.06441,1.77744,0.00979,1.04279,0.5934,0.4225,0.45002,0.20207,0.41869,0.4225,0.37687,0.14735,1.69196,2.94184,2.52911,0.01414,0,0.000990365,0.000990365,0.000990365
43,911.092,1.56783,2.18839,1.77257,0.01103,1.08755,0.63694,0.45425,0.48439,0.22431,0.53521,0.39309,0.43574,0.16822,1.70631,2.83962,2.43164,0.01377,0,0.000973861,0.000973861,0.000973861
44,931.662,1.43848,2.0132,1.56192,0.0091,1.09813,0.51758,0.45985,0.45029,0.22057,0.51945,0.46545,0.42835,0.17294,1.76082,2.85914,2.34063,0.01487,0,0.000957358,0.000957358,0.000957358
45,952.116,1.60978,2.20775,1.86099,0.01065,1.25734,0.53051,0.46545,0.46488,0.22421,0.53679,0.47856,0.47444,0.18373,1.81203,2.75316,2.36295,0.0157,0,0.000940855,0.000940855,0.000940855
46,972.603,1.50855,2.02563,1.63915,0.01078,1.17013,0.64275,0.47203,0.47388,0.237,0.63999,0.46693,0.48052,0.1829,1.73586,2.85007,2.53406,0.01463,0,0.000924352,0.000924352,0.000924352
47,992.89,1.48137,2.07552,1.61915,0.00991,0.9035,0.60478,0.48133,0.47552,0.22766,0.56465,0.48693,0.44488,0.15692,1.79168,2.66113,2.34997,0.01508,0,0.000907848,0.000907848,0.000907848
48,1013.26,1.31062,1.8748,1.47548,0.01045,0.90828,0.63319,0.45316,0.46485,0.20892,0.60075,0.42894,0.40203,0.16807,1.84934,2.53952,2.14437,0.01518,0,0.000891345,0.000891345,0.000891345
49,1033.38,1.45778,2.00367,1.52227,0.01012,0.95638,0.49649,0.46218,0.47498,0.2331,0.47988,0.46779,0.45772,0.19096,1.82278,2.52569,2.1168,0.01481,0,0.000874842,0.000874842,0.000874842
50,1053.94,1.35524,1.95538,1.51419,0.01011,0.80549,0.48185,0.48366,0.48138,0.26075,0.47487,0.47572,0.48113,0.21722,1.69978,2.55138,2.01952,0.01415,0,0.000858338,0.000858338,0.000858338
51,1074.44,1.53248,2.05958,1.61996,0.01071,0.98134,0.52876,0.50747,0.49396,0.26088,0.45871,0.49953,0.48243,0.22225,1.76895,2.48121,2.02421,0.01503,0,0.000841835,0.000841835,0.000841835
52,1094.79,1.40736,1.88404,1.35698,0.01033,0.7416,0.60874,0.44106,0.49827,0.24973,0.57809,0.43044,0.50601,0.22232,1.79795,2.50093,2.14877,0.01524,0,0.000825332,0.000825332,0.000825332
53,1114.9,1.38715,1.86138,1.43477,0.00871,0.84784,0.65882,0.51137,0.52555,0.27629,0.68141,0.47698,0.53325,0.2252,1.74417,2.52752,2.05329,0.01462,0,0.000808828,0.000808828,0.000808828
54,1135.18,1.39807,1.86908,1.42998,0.00906,0.78058,0.69224,0.48133,0.55692,0.31595,0.65528,0.4761,0.54872,0.23728,1.69843,2.5083,1.88156,0.01417,0,0.000792325,0.000792325,0.000792325
55,1155.32,1.39004,1.9118,1.44156,0.01097,0.92012,0.62549,0.5174,0.5478,0.32714,0.6503,0.53678,0.57149,0.26227,1.63711,2.4959,1.81988,0.01418,0,0.000775822,0.000775822,0.000775822
56,1175.53,1.46534,2.02792,1.63163,0.00913,0.98906,0.57497,0.62512,0.5575,0.31577,0.61091,0.66246,0.60436,0.26273,1.58699,2.522,1.90144,0.01375,0,0.000759318,0.000759318,0.000759318
57,1196.51,1.42146,1.89396,1.45395,0.0102,0.76007,0.52396,0.58944,0.55433,0.31577,0.52646,0.6083,0.55257,0.25057,1.52283,2.57874,1.93858,0.01285,0,0.000742815,0.000742815,0.000742815
58,1216.7,1.3658,1.72761,1.34932,0.00962,0.65194,0.65009,0.52428,0.546,0.3158,0.65355,0.52937,0.56384,0.24497,1.49117,2.62779,2.05361,0.01213,0,0.000726312,0.000726312,0.000726312
59,1236.96,1.33551,1.9106,1.36357,0.00895,0.70437,0.63345,0.48133,0.52273,0.32595,0.61071,0.47713,0.53175,0.24752,1.50999,2.64583,1.98974,0.01226,0,0.000709809,0.000709809,0.000709809
60,1257.71,1.4557,2.01898,1.37451,0.00845,0.88599,0.59536,0.52101,0.52995,0.32167,0.59064,0.52101,0.52866,0.23383,1.53143,2.6312,1.89597,0.01265,0,0.000693305,0.000693305,0.000693305
61,1278.06,1.33674,2.11663,1.35422,0.00897,0.96755,0.62397,0.53688,0.5309,0.31286,0.61656,0.52894,0.52484,0.23252,1.53174,2.59651,1.88384,0.01251,0,0.000676802,0.000676802,0.000676802
62,1298.37,1.38532,1.78291,1.29219,0.00929,0.8657,0.53173,0.52334,0.49812,0.30683,0.52492,0.52334,0.50233,0.22082,1.58604,2.62123,1.87285,0.01274,0,0.000660299,0.000660299,0.000660299
63,1319.16,1.32534,1.87952,1.26657,0.00885,0.75466,0.49776,0.61158,0.50391,0.2994,0.49471,0.61158,0.49884,0.21491,1.61533,2.60775,1.85247,0.01295,0,0.000643795,0.000643795,0.000643795
64,1339.64,1.37444,1.88579,1.3067,0.00796,0.69666,0.53367,0.62512,0.52698,0.33264,0.50014,0.61165,0.50259,0.23411,1.61648,2.62256,1.79715,0.01317,0,0.000627292,0.000627292,0.000627292
65,1359.86,1.30358,1.77434,1.23501,0.00813,0.6105,0.59951,0.60924,0.54937,0.33986,0.5707,0.58543,0.51548,0.24426,1.61355,2.63218,1.80524,0.01327,0,0.000610789,0.000610789,0.000610789
66,1380.08,1.32767,1.75769,1.19174,0.00865,0.65191,0.79116,0.50176,0.58508,0.3648,0.77187,0.48459,0.56371,0.27638,1.58788,2.64573,1.81325,0.01297,0,0.000594286,0.000594286,0.000594286
67,1401.07,1.37508,1.69153,1.21146,0.00766,0.61144,0.77267,0.54396,0.57668,0.35408,0.75741,0.53602,0.56552,0.26176,1.58818,2.71709,1.8525,0.01298,0,0.000577782,0.000577782,0.000577782
